Date,Load,Zone
1/2/2017 10:00:00 PM,558,North
1/2/2017 10:00:00 PM,1685,West
1/2/2017 10:00:00 PM,17037,NYISO
1/2/2017 11:00:00 PM,1270,Capitl
1/2/2017 11:00:00 PM,1590,Centrl
1/2/2017 11:00:00 PM,611,Dunwod
1/2/2017 11:00:00 PM,948,Genese
1/2/2017 11:00:00 PM,999,Hud Vl
1/2/2017 11:00:00 PM,2161,Longil
1/2/2017 11:00:00 PM,712,Mhk Vl
1/2/2017 11:00:00 PM,301,Millwd
1/2/2017 11:00:00 PM,5181,N.Y.C.
1/2/2017 11:00:00 PM,546,North
1/2/2017 11:00:00 PM,1593,West
1/2/2017 11:00:00 PM,15912,NYISO
1/3/2017 12:00:00 AM,1166,Capitl
1/3/2017 12:00:00 AM,1536,Centrl
1/3/2017 12:00:00 AM,551,Dunwod
1/3/2017 12:00:00 AM,915,Genese
1/3/2017 12:00:00 AM,921,Hud Vl
1/3/2017 12:00:00 AM,1916,Longil
1/3/2017 12:00:00 AM,682,Mhk Vl
1/3/2017 12:00:00 AM,276,Millwd
1/3/2017 12:00:00 AM,4802,N.Y.C.
1/3/2017 12:00:00 AM,529,North
1/3/2017 12:00:00 AM,1526,West
1/3/2017 12:00:00 AM,14820,NYISO
